Lote,"WT-3120NA-1001 (totalizer) [ton]","WT-3120NA-1002 (totalizer) [ton]","WT-3120NA-1001 (Average unbalance [%]","WT-3120NA-1002 (Average unbalance [%]","WT-3120NA-1001 (Average Overload [%]","WT-3120NA-1002 (Average Overload [%]","WT3120NA01 (Belt Scale)[ton]"
332,3773.2,3736.95,2.502951838,2.036468492,0.75598601,0.268361582,7557
333,3813.15,3772.775,3.47514421,3.751001463,1.293381759,0.750269034,7736
334,3694.125,3663,2.255518935,2.144130103,-0.307707829,-0.726392252,7511
335,3681.05,3694.375,2.11434141,1.924358761,-0.483588916,-0.304344902,7554
336,3676.3,3695.325,3.041141241,3.074692596,-0.547484531,-0.291565779,7539
337,3718,3650.425,2.321470243,2.153532767,0.013451708,-0.895547485,7526
338,3709.15,3683.35,3.184786539,3.193263374,-0.105595911,-0.452649987,7516
339,3797.425,3756.1,2.240171187,2.134974403,1.081853645,0.525961797,7581
340,3748.225,3687.775,1.491399385,2.149697269,0.420029594,-0.393126177,7651
341,3657.1,3637.075,2.1378698,2.0207958,-0.805757331,-1.075127791,7320
342,3682.6,3642.775,2.744671379,2.750554235,-0.462738768,-0.998453054,7545
343,3763.525,3736.75,1.75641926,1.09576454,0.625840732,0.26567124,7646
344,3674.975,3664.275,1.838386454,1.665901537,-0.565308044,-0.709241324,7069
345,3714.275,3702.275,1.62185818,1.603837509,-0.036655905,-0.198076406,7427
346,3786.75,3778.75,2.158098282,1.893281063,0.938256659,0.830642992,7599
347,3750.925,3732.875,1.969233551,1.928306015,0.456349206,0.21354587,7508
348,3665.925,3665.225,3.423543202,2.981086479,-0.687046005,-0.696462201,7290
349,3812.15,3772.825,1.713086171,1.956347121,1.279930051,0.75094162,7619
350,3838,3797.65,2.213526946,2.904971206,1.627656712,1.08488028,7622
351,3795.3,3772.575,2.004608923,2.074987587,1.053268765,0.747578692,7591
352,3894.7,3843.675,2.714886456,2.678231477,2.390368577,1.703995157,7811
353,3761.125,3757.075,2.640788378,2.666237357,0.593556632,0.539077213,7736
354,3890.875,3897.05,2.475603706,2.299987736,2.338915792,2.421980091,7931
355,3753.375,3746.425,1.758602808,1.619263133,0.489305892,0.395816519,7666
356,3681.25,3646.225,3.882322222,3.279124047,-0.480898574,-0.95204466,7614
357,3749.125,3713.875,1.05494643,0.957665186,0.432136131,-0.042036589,7602
358,3690.85,3667.6,3.836009022,3.248030562,-0.351762174,-0.664514393,7493
359,3558.15,3540.825,2.527765736,2.074025247,-2.136803874,-2.369854722,7130
360,3663.8,3654,3.810307325,3.972057604,-0.715630885,-0.847457627,7388
361,3880.425,3859.3,2.719409599,2.471967149,2.19834544,1.914178101,7861
362,3751.525,3757.325,1.556703162,1.546865377,0.464420231,0.54244014,7661
363,3735.325,3742.425,2.327706853,2.151365249,0.246502556,0.342009685,7850
364,3693.925,3673.45,2.145244007,1.828391474,-0.310398171,-0.585821899,7482
365,3774.925,3730.6,2.690836542,2.348048945,0.779190207,0.182943234,7650
366,3782.925,3773.725,2.567732396,1.855339599,0.886803874,0.763048157,7546
367,3686.75,3659.55,4.067512336,3.487705825,-0.406914178,-0.772800646,7341
368,3635.85,3634.45,2.281180169,2.175096881,-1.091606134,-1.110438526,7440
369,3675.8,3627.025,1.578308693,1.907795114,-0.554210385,-1.21031746,7367
