Lote,"WT-3120NA-1001 (totalizer) [ton]","WT-3120NA-1002 (totalizer) [ton]","WT-3120NA-1001 (Average unbalance [%]","WT-3120NA-1002 (Average unbalance [%]","WT-3120NA-1001 (Average Overload [%]","WT-3120NA-1002 (Average Overload [%]","WT3120NA01 (Belt Scale)[ton]"
68,3738.175,3705.025,3.182105663,2.823199244,0.284839925,-0.161084208,7670
69,3684.25,3623.425,2.663545513,2.468140566,-0.440543449,-1.25874361,7533
70,3699.1,3673.075,3.946838795,3.16255647,-0.24078558,-0.59086629,7483
71,3703.375,3662.425,2.302242756,1.821052431,-0.183279526,-0.734126984,7523
72,3638.875,3603.55,4.330330187,4.25739074,-1.050914716,-1.526096314,7094
73,3605.55,3578.1,4.125304398,3.985459755,-1.499192897,-1.868442292,7209
74,3656.05,3656.55,2.834630503,2.210360248,-0.819881625,-0.813155771,7410
75,3676.95,3653.075,2.105070603,1.752924549,-0.53874092,-0.859900457,7327
76,3617.25,3592.05,3.355911912,3.281276754,-1.34180791,-1.68079096,7223
77,3823.175,3803.275,3.206944837,2.669479443,1.428235136,1.160546139,7759
78,3723.975,3702.025,2.365990091,2.668988167,0.093825666,-0.201439333,7504
79,3882.775,3869.025,2.400411775,2.273049185,2.229956955,2.044995964,7931
80,3627.45,3620.55,2.647333448,2.390632505,-1.204600484,-1.297417272,7497
81,3715.725,3710.85,1.783477858,1.405629883,-0.017150928,-0.082728006,7541
82,3869.225,3937.25,1.446513341,1.756218211,2.047686306,2.962738768,8041
83,3687.25,3657.55,3.516053869,3.082914604,-0.400188324,-0.799704062,7546
84,3707.8,3641.575,1.788444885,2.791811269,-0.123755717,-1.014595104,7604
85,3748.45,3727.075,3.195877252,2.779195188,0.423056228,0.135525962,7569
86,3694.825,3649.975,1.444143348,1.836009422,-0.298291633,-0.901600753,7455
87,3618.325,3592.375,3.049842683,2.605981552,-1.327347323,-1.676419155,7359
88,3649.075,3617.075,2.987684729,2.516521406,-0.913707291,-1.344161959,7314
89,3652.275,3618.85,3.286577204,2.836331577,-0.870661824,-1.320285176,7372
90,3858.15,3795.175,2.606009319,3.106669113,1.898708636,1.051587302,7702
91,3792.6,3800.8,3.504017752,2.856137687,1.016949153,1.127253161,7637
92,3824.825,3832.175,1.737549848,1.655677768,1.450430455,1.549300511,7844
93,3669.025,3672.55,2.770876152,2.895919182,-0.645345709,-0.597928437,7518
94,3601.125,3646.1,2.20863824,2.380654988,-1.558716707,-0.953726123,7572
95,3624.925,3607.9,3.190316511,2.741219581,-1.238566048,-1.467581383,7364
96,3765.25,3745,1.866435225,1.602131531,0.649044929,0.376647834,7621
97,3463.575,3442.75,2.658363386,2.246016879,-3.408999193,-3.68913102,6921
98,3809.075,3762.275,1.994734795,1.754601958,1.238566048,0.609026096,7532
99,3670.275,3644.7,1.47880596,1.395728124,-0.628531073,-0.972558515,7344
100,3692.65,3678.15,2.199772212,1.970087686,-0.327549099,-0.52259887,7458
101,3777.425,3761.125,1.793456418,1.582940664,0.812819478,0.593556632,7593
102,3780.225,3752.65,3.543815932,3.039618563,0.850484262,0.479553403,7537
103,3805.975,3823.95,1.429207862,1.393279571,1.196865752,1.43866021,7816
104,3658.175,3688.55,1.990173342,1.855827253,-0.791296745,-0.382701103,7547
105,3654.675,3690.75,1.992377355,1.811070605,-0.838377724,-0.353107345,7572
106,3663.175,3592.225,3.510353035,3.255049896,-0.724038203,-1.678436911,7460
107,3686.825,3709.475,1.809370422,1.808533508,-0.4059053,-0.101224105,7530
108,3758.3,3731.85,4.212915353,3.736580873,0.555555556,0.199757869,7550
109,3640.7,3647.125,1.295525756,1.486735446,-1.026365348,-0.939938122,7545
110,3689.275,3670.525,1.939184938,2.438426141,-0.372948614,-0.625168146,7518
111,3767.275,3761.575,2.565149743,2.294771618,0.676284638,0.5996099,7570
112,3762.55,3732.625,3.357530044,3.564339685,0.612725316,0.210182943,7589
113,3782.725,3762.775,2.650812117,2.362414756,0.884113532,0.61575195,7630
114,3725.425,3679.225,2.688654308,1.934368422,0.113330643,-0.508138284,7497
115,3611.125,3543.775,1.957588423,2.031638834,-1.424199623,-2.330172182,7443
116,3614.8,3589.075,0.552970007,0.213520496,-1.374764595,-1.720809793,7297
117,3609.85,3572.575,2.13483291,1.829901485,-1.441350552,-1.942762981,7401
118,3684.7,3604.9,4.232892582,3.844808624,-0.43449018,-1.507936508,7545
119,3663.325,3608.8,2.010553506,1.372268342,-0.722020447,-1.455474845,7420
120,3712.8,3675.25,4.552730734,4.004744914,-0.056497175,-0.561608824,7639
121,3663.275,3624.4,1.930516186,2.010110502,-0.722693032,-1.245628195,7327
122,3723.45,3708.05,3.067762198,3.019394047,0.086763519,-0.12039279,7476
123,3714.575,3704.125,2.777668142,2.609475688,-0.032620393,-0.173190745,7345
124,3697.7,3661.025,3.533652269,2.576924228,-0.259617971,-0.752959376,7470
125,3747.525,3727.475,3.062473957,2.751054164,0.410613398,0.140906645,7473
126,3744.875,3724,1.85157188,1.761250731,0.374966371,0.094161959,7579
127,3858.225,3861.525,2.219911601,2.147004364,1.899717514,1.944108152,7935
128,3765.9,3799.25,2.094663815,1.789925542,0.657788539,1.106403013,7696
129,3657.775,3640.3,2.898664481,2.444864864,-0.796677428,-1.031746032,7486
130,3704.2,3685.3,1.817598561,1.546120705,-0.172181867,-0.426419155,7554
131,3657.7,3606.175,3.177065767,3.255961302,-0.797686306,-1.49078558,7508
132,3738.1,3669.775,2.080645119,2.252978573,0.283831047,-0.635256928,7594
133,3810.775,3744.475,2.710189651,2.606530157,1.261433952,0.369585687,7703
134,3573.775,3547.675,2.789935172,2.120150115,-1.926620931,-2.277710519,7304
135,3740.275,3705.325,3.194246262,1.829405353,0.313088512,-0.157048695,7623
136,3764.5,3723.4,2.872909475,2.388167799,0.638956147,0.086090934,7640
137,3752.225,3723.925,2.171559107,1.944798343,0.473836427,0.09315308,7439
138,3721.375,3708.825,2.415056097,2.306984844,0.058851224,-0.109967716,7368
139,3796.05,3787.175,2.962710644,2.758733615,1.063357546,0.943973635,7696
140,3651.55,3611.125,2.391501086,2.155772881,-0.880414313,-1.424199623,7297
141,3713.35,3693.95,1.651902009,1.643580306,-0.049098736,-0.310061878,7503
142,3755.725,3743.5,4.513958005,4.266452416,0.520917407,0.356470272,7621
143,3699.3,3695.6,3.180129501,3.334498649,-0.238095238,-0.287866559,7526
144,3769.05,3754.575,1.892193869,2.063614866,0.700161421,0.505447942,7627
145,3838.75,3835.925,1.745526507,1.82107834,1.637745494,1.599744418,7908
146,3728.525,3738.85,2.586558573,2.437221662,0.155030939,0.293919828,7681
147,3697.825,3663.85,1.019300231,1.277619742,-0.257936508,-0.7149583,7599
148,3726.625,3688.075,1.925824038,1.993264887,0.129472693,-0.389090665,7438
149,3648.775,3620.5,2.756066265,1.567780836,-0.917742803,-1.298089857,7395
150,3619.525,3592.825,2.623238419,2.423219842,-1.311205273,-1.670365886,7347
